일시,평균기온(℃),최고기온(℃),최저기온(℃)
2002.6.1,20.2,24.8,17.1
2002.6.2,22.9,30,15.3
2002.6.3,23.4,29.1,17.6
2002.6.4,22.4,27.6,18.2
2002.6.5,25.2,31.4,19.1
2002.6.6,25.9,31.2,21.2
2002.6.7,25.2,30.6,19.6
2002.6.8,22.1,27.1,19.4
2002.6.9,22.8,28,18.3
2002.6.10,22.4,26.6,20
2002.6.11,21.9,26.8,19
2002.6.12,18.6,22.9,16.6
2002.6.13,19.7,24.4,16
2002.6.14,20.4,25,16.4
2002.6.15,20.6,24.8,17.4
2002.6.16,22.4,28.6,15.7
2002.6.17,23.2,28.4,17.9
2002.6.18,23.4,28.9,19
2002.6.19,22.3,26.2,20.2
2002.6.20,22.2,26.1,19.2
2002.6.21,23.6,28.4,18.8
2002.6.22,23.7,29.2,18.9
2002.6.23,18.1,21.3,16.9
2002.6.24,16.4,17.7,15.3
2002.6.25,19.8,25,15.5
2002.6.26,20.9,27.7,14.5
2002.6.27,21.6,27.5,16.5
2002.6.28,23.6,30,17.4
2002.6.29,25.8,32,18.9
2002.6.30,26.3,31.5,22.4
